Time=0, IR=00000000, R1=00000000, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0000
Time=25, IR=00000000, R1=00000000, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0000
Time=35, IR=00000000, R1=00000000, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0000
Time=75, IR=00000000, R1=00000000, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0000
Time=85, IR=21100001, R1=00000000, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0000
Time=95, IR=21100001, R1=00000000, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=3, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0000
Time=105, IR=21100001, R1=00000000, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=2, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0000
Time=115, IR=21100001, R1=00000000, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0000
Time=125, IR=21100001, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0000
Time=135, IR=11211000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0000
Time=145, IR=11211000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=1, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0000
Time=155, IR=11211000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=175, IR=11211000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0001
Time=185, IR=1b322000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=195, IR=1b322000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=1, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=205, IR=1b322000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=225, IR=1b322000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0001
Time=235, IR=12412000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=245, IR=12412000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=1, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=255, IR=12412000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=275, IR=12412000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0001
Time=285, IR=1a443000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=295, IR=1a443000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=1, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=305, IR=1a443000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=325, IR=1a443000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0001
Time=335, IR=17234000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=345, IR=17234000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=1, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=355, IR=17234000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=375, IR=17234000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0001
Time=385, IR=14220000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=395, IR=14220000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=1, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=405, IR=14220000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=425, IR=14220000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0001
